cod_ibge,municipio,mun_tcga_al
2700102,Água Branca,Água Branca
2700201,Anadia,Anadia
2700300,Arapiraca,Arapiraca
2700409,Atalaia,Atalaia
2700508,Barra de Santo Antônio,Barra de Santo Antônio
2700607,Barra de São Miguel,Barra de São Miguel
2700706,Batalha,Batalha
2700805,Belém,Belém
2700904,Belo Monte,Belo Monte
2701001,Boca da Mata,Boca da Mata
2701100,Branquinha,Branquinha
2701209,Cacimbinhas,Cacimbinhas
2701308,Cajueiro,Cajueiro
2701357,Campestre,Campestre
2701407,Campo Alegre,Campo Alegre
2701506,Campo Grande,Campo Grande
2701605,Canapi,Canapi
2701704,Capela,Capela
2701803,Carneiros,Carneiros
2701902,Chã Preta,Chã Preta
2702009,Coité do Nóia,Coité do Nóia
2702108,Colônia Leopoldina,Colônia Leopoldina
2702207,Coqueiro Seco,Coqueiro Seco
2702306,Coruripe,Coruripe
2702355,Craíbas,Craíbas
2702405,Delmiro Gouveia,Delmiro Gouveia
2702504,Dois Riachos,Dois Riachos
2702553,Estrela de Alagoas,Estrela de Alagoas
2702603,Feira Grande,Feira Grande
2702702,Feliz Deserto,Feliz Deserto
2702801,Flexeiras,Flexeiras
2702900,Girau do Ponciano,Girau do Ponciano
2703007,Ibateguara,Ibateguara
2703106,Igaci,Igaci
2703205,Igreja Nova,Igreja Nova
2703304,Inhapi,Inhapi
2703403,Jacaré dos Homens,Jacaré dos Homens
2703502,Jacuípe,Jacuípe
2703601,Japaratinga,Japaratinga
2703700,Jaramataia,Jaramataia
2703759,Jequiá da Praia,Jequiá da Praia
2703809,Joaquim Gomes,Joaquim Gomes
2703908,Jundiá,Jundiá
2704005,Junqueiro,Junqueiro
2704104,Lagoa da Canoa,Lagoa da Canoa
2704203,Limoeiro de Anadia,Limoeiro de Anadia
2704302,Maceió,Maceió
2704401,Major Isidoro,Major Isidoro
2704500,Maragogi,Maragogi
2704609,Maravilha,Maravilha
2704708,Marechal Deodoro,Marechal Deodoro
2704807,Maribondo,Maribondo
2704906,Mar Vermelho,Mar Vermelho
2705002,Mata Grande,Mata Grande
2705101,Matriz de Camaragibe,Matriz de Camaragibe
2705200,Messias,Messias
2705309,Minador do Negrão,Minador do Negrão
2705408,Monteirópolis,Monteirópolis
2705507,Murici,Murici
2705606,Novo Lino,Novo Lino
2705705,Olho d'Água das Flores,Olho d'Água das Flores
2705804,Olho d'Água do Casado,Olho d'Água do Casado
2705903,Olho d'Água Grande,Olho d'Água Grande
2706000,Olivença,Olivença
2706109,Ouro Branco,Ouro Branco
2706208,Palestina,Palestina
2706307,Palmeira dos Índios,Palmeira dos Índios
2706406,Pão de Açúcar,Pão de Açúcar
2706422,Pariconha,Pariconha
2706448,Paripueira,Paripueira
2706505,Passo de Camaragibe,Passo de Camaragibe
2706604,Paulo Jacinto,Paulo Jacinto
2706703,Penedo,Penedo
2706802,Piaçabuçu,Piaçabuçu
2706901,Pilar,Pilar
2707008,Pindoba,Pindoba
2707107,Piranhas,Piranhas
2707206,Poço das Trincheiras,Poço das Trincheiras
2707305,Porto Calvo,Porto Calvo
2707404,Porto de Pedras,Porto de Pedras
2707503,Porto Real do Colégio,Porto Real do Colégio
2707602,Quebrangulo,Quebrangulo
2707701,Rio Largo,Rio Largo
2707800,Roteiro,Roteiro
2707909,Santa Luzia do Norte,Santa Luzia do Norte
2708006,Santana do Ipanema,Santana do Ipanema
2708105,Santana do Mundaú,Santana do Mundaú
2708204,São Brás,São Brás
2708303,São José da Laje,São José da Laje
2708402,São José da Tapera,São José da Tapera
2708501,São Luís do Quitunde,São Luís do Quitunde
2708600,São Miguel dos Campos,São Miguel dos Campos
2708709,São Miguel dos Milagres,São Miguel dos Milagres
2708808,São Sebastião,São Sebastião
2708907,Satuba,Satuba
2708956,Senador Rui Palmeira,Senador Rui Palmeira
2709004,Tanque d'Arca,Tanque d'Arca
2709103,Taquarana,Taquarana
2709152,Teotônio Vilela,Teotônio Vilela
2709202,Traipu,Traipu
2709301,União dos Palmares,União dos Palmares
2709400,Viçosa,Viçosa
