cod_ibge,municipio,mun_tcga_rj
3300100,Angra dos Reis,Angra dos Reis
3300159,Aperibé,Aperibé
3300209,Araruama,Araruama
3300225,Areal,Areal
3300233,Armação dos Búzios,Armação dos Búzios
3300258,Arraial do Cabo,Arraial do Cabo
3300308,Barra do Piraí,Barra do Piraí
3300407,Barra Mansa,Barra Mansa
3300456,Belford Roxo,Belford Roxo
3300506,Bom Jardim,Bom Jardim
3300605,Bom Jesus do Itabapoana,Bom Jesus do Itabapoana
3300704,Cabo Frio,Cabo Frio
3300803,Cachoeiras de Macacu,Cachoeiras de Macacu
3300902,Cambuci,Cambuci
3300936,Carapebus,Carapebus
3300951,Comendador Levy Gasparian,Comendador Levy Gasparian
3301009,Campos dos Goytacazes,Campos dos Goytacazes
3301108,Cantagalo,Cantagalo
3301157,Cardoso Moreira,Cardoso Moreira
3301207,Carmo,Carmo
3301306,Casimiro de Abreu,Casimiro de Abreu
3301405,Conceição de Macabu,Conceição de Macabu
3301504,Cordeiro,Cordeiro
3301603,Duas Barras,Duas Barras
3301702,Duque de Caxias,Duque de Caxias
3301801,Engenheiro Paulo de Frontin,Engenheiro Paulo de Frontin
3301850,Guapimirim,Guapimirim
3301876,Iguaba Grande,Iguaba Grande
3301900,Itaboraí,Itaboraí
3302007,Itaguaí,Itaguaí
3302056,Italva,Italva
3302106,Itaocara,Itaocara
3302205,Itaperuna,Itaperuna
3302254,Itatiaia,Itatiaia
3302270,Japeri,Japeri
3302304,Laje do Muriaé,Laje do Muriaé
3302403,Macaé,Macaé
3302452,Macuco,Macuco
3302502,Magé,Magé
3302601,Mangaratiba,Mangaratiba
3302700,Maricá,Maricá
3302809,Mendes,Mendes
3302858,Mesquita,Mesquita
3302908,Miguel Pereira,Miguel Pereira
3303005,Miracema,Miracema
3303104,Natividade,Natividade
3303203,Nilópolis,Nilópolis
3303302,Niterói,Niterói
3303401,Nova Friburgo,Nova Friburgo
3303500,Nova Iguaçu,Nova Iguaçu
3303609,Paracambi,Paracambi
3303708,Paraíba do Sul,Paraíba do Sul
3303807,Paraty,Paraty
3303856,Paty do Alferes,Paty do Alferes
3303906,Petrópolis,Petrópolis
3303955,Pinheiral,Pinheiral
3304003,Piraí,Piraí
3304102,Porciúncula,Porciúncula
3304110,Porto Real,Porto Real
3304128,Quatis,Quatis
3304144,Queimados,Queimados
3304151,Quissamã,Quissamã
3304201,Resende,Resende
3304300,Rio Bonito,Rio Bonito
3304409,Rio Claro,Rio Claro
3304508,Rio das Flores,Rio das Flores
3304524,Rio das Ostras,Rio das Ostras
3304557,Rio de Janeiro,Rio de Janeiro
3304607,Santa Maria Madalena,Santa Maria Madalena
3304706,Santo Antônio de Pádua,Santo Antônio de Pádua
3304755,São Francisco de Itabapoana,São Francisco de Itabapoana
3304805,São Fidélis,São Fidélis
3304904,São Gonçalo,São Gonçalo
3305000,São João da Barra,São João da Barra
3305109,São João de Meriti,São João de Meriti
3305133,São José de Ubá,São José de Ubá
3305158,São José do Vale do Rio Preto,São José do Vale do Rio Preto
3305208,São Pedro da Aldeia,São Pedro da Aldeia
3305307,São Sebastião do Alto,São Sebastião do Alto
3305406,Sapucaia,Sapucaia
3305505,Saquarema,Saquarema
3305554,Seropédica,Seropédica
3305604,Silva Jardim,Silva Jardim
3305703,Sumidouro,Sumidouro
3305752,Tanguá,Tanguá
3305802,Teresópolis,Teresópolis
3305901,Trajano de Moraes,Trajano de Moraes
3306008,Três Rios,Três Rios
3306107,Valença,Valença
3306156,Varre-Sai,Varre-Sai
3306206,Vassouras,Vassouras
3306305,Volta Redonda,Volta Redonda
